Project,Fork,Star,ISSUE ID,STATUS,Severity,Create Time,Fix Time,Commit ID,Description,Discuss Information,Classification,Severity_Level
OSWorld,442,2796,487,open,,2026-04-11T13:34:40Z,,,"### Summary  Two tasks evaluated by `check_python_file_by_test_suite` (`desktop_env/evaluators/metrics/vscode.py`) produce non-deterministic scores because the downloaded `test_suite.py` files depend on **uninitialized global Python `random` state**. The same submitted code can receive different scores across runs, even when no agent activity has modified the source files. This affects benchmark reproducibility for the `multi_apps` subset.  ### Reproduction  Task: `evaluation_examples/examples/multi_apps/9219480b-3aed-47fc-8bac-d2cffc5849f7.json` (the ""fix tetris rotate crash"" task).  The downloaded `test_suite.py` calls:  ```python def test():     game = Tetris(BOARD_HEIGHT, BOARD_WIDTH)        # __init__: random.choice(shapes)     game.new_block()                                # random.choice(shapes) again     while game.block.x > 0: game.move(-1, 0)     game.rotate()     if game.intersect(): return False     while game.block.x + len(game.block.shape[0]) < game.width:         game.move(1, 0)     game.rotate()     if game.intersect(): return False     return True ```  The first random shape determines the entire test outcome. With the **original buggy `tetris.py` (no fix applied, no agent activity)**, calling `check_python_file_by_test_suite` 30 times produces:  ``` [False, False, False, True, False, True, False, True, False, True,  True,  False, True,  True,  False, False, False, False, False, False,  False, False, False, True,  False, False, True,  False, True,  False] True: 10 / 30   (~33%) ```  A second independent verification (60 calls, fresh process) yielded `28 True / 32 False` (~47%). Both are consistent with the expected ~3/7 = 42.9% pass rate from the per-shape table below.  ### Per-shape determinism check  Forcing each tetromino as the first block (bypassing the random draw) gives a stable answer per shape on the buggy code, vs. on the same code with the standard ""revert rotation on intersect"" fix applied to `Tetris.rotate()`:  | Shape | Buggy | Fixed | |---|---|---| | **I** | False | True | | J | True | True | | L | True | True | | O | True | True | | **S** | False | True | | **T** | False | True | | **Z** | False | True |  So 3/7 tetrominoes silently award a passing score to broken code, and the test only ever evaluates **one** randomly chosen shape per run. The remaining 4/7 correctly fail on the buggy code and pass on the fixed code.  ### Cache files are not being mutated  Verified that `test_suite.py`, `tetris.py`, `block.py`, `settings.py`, and `main.py` under `cache/9219480b-.../` are byte-identical (md5sum) before and after batches of 100+ evaluator invocations. The flakiness lives entirely inside the unseeded `random` calls in the test fixture, not in any external state.  ### Root cause  `check_python_file_by_test_suite` (`desktop_env/evaluators/metrics/vscode.py:260`) imports the test module via `importlib`, but never seeds the Python `random` module. When the loaded test code subsequently calls `random.choice` / `random.randint`, the result depends on global process state (a time-based default seed), so the score varies between worker processes and across runs.  A grep for `random.seed` / `np.random.seed` across the entire repo returns **zero matches**. There is also no multi-run / averaging mechanism in `lib_run_single.py` — every `run_single_example_*` calls `env.evaluate()` exactly once and writes that single value to `result.txt`, so a single noisy evaluation directly determines the reported score.  ### Affected samples  Tasks currently using `check_python_file_by_test_suite`:  1. **`multi_apps/9219480b-3aed-47fc-8bac-d2cffc5849f7`** (tetris rotate fix) — **confirmed flaky**, ~33–47% false-positive rate on unfixed code (per the 30-run and 60-run reproductions above).  2. **`multi_apps/26150609-0da3-4a7d-8868-0faf9c5f01bb`** (snake fix) — **same risk pattern**: `food.py` initializes food via `random.randint`, and `test_suite.py` instantiates `Food()` without seeding. The current buggy version happens to return `False` deterministically (the bug prevents the snake from ever reaching the food, masking the randomness), but **any partial fix would re-expose the same non-determinism** because the test still depends on the random spawn position.  3. The Windows variant `evaluation_examples/examples_windows/multi_app/26150609-0da3-4a7d-8868-0faf9c5f01bb.json` uses the same evaluator and likely has the same issue.  These are the only three tasks in `evaluation_examples/` whose `evaluator.func` is `check_python_file_by_test_suite`. More broadly, **any future task** whose `test_suite.py` imports user-supplied code that uses unseeded RNG will hit the same bug.  ### Proposed fix  The cleanest fix is **at the source**: update the affected `test.py` files in the `xlangai/ubuntu_osworld_file_cache` Hugging Face dataset so they no longer depend on global `random` state. Two minimal options:  1. **Seed locally in `test()`** — add `random.seed(0)` at the top of `test()` in each affected `test.py`. Zero-cost, fully deterministic. 2. **Enumerate inputs deterministically** — for tetris, iterate the test over all 7 tetrominoes (constructing each `Block(shapes[i])` directly instead of going through `random.choice`) and require all 7 to pass; for snake, fix the food position via a constructor argument or a `random.seed` call. This additionally enables partial-credit scoring (e.g. `passed / 7` for tetris) which would distinguish fully-fixed from partially-fixed submissions.  Option 2 is preferable for tetris because it converts the test from ""random sampling"" to ""exhaustive coverage"", which is what the test seems to have intended.  Happy to send a community PR to the Hugging Face dataset with either variant if maintainers agree on the approach.  ### Environment  - Provider: docker - Python: 3.12 ",,A(risk),Medium
OSWorld,442,2796,479,open,,2026-04-08T12:30:39Z,,,## Summary - propagate GPT-5.4 infeasible responses into an explicit `FAIL` step in the runner - surface the agent's infeasible flag so infeasible evaluators score the run correctly - add a regression test covering the infeasible runner path  ## Test plan - [x] `python3 -m unittest tests.test_gpt54_infeasible`,,E(regression),Low
OSWorld,442,2796,471,closed,,2026-03-27T04:44:06Z,2026-03-27T07:35:45Z,PR Merged,Refactor the code structure of the vlaa-gui to improve organization and maintainability. Remove hardcoded API keys to enhance security.,,A(security),Medium
OSWorld,442,2796,434,open,,2026-02-17T22:31:18Z,,,https://github.com/xlang-ai/OSWorld/commit/28518a825807532717354396e7b8f2e48738aed5  The AWS_ACCESS_KEY_ID and AWS_SECRET_ACCESS_KEY are publically available in run_mannual_examine.sh. I highly recommend you remove those values from a public script. You should likely recycle the secret key.  Using the provided key I can dump various AWS infrastructure from your account ``` - STS GetCallerIdentity OK: account=366177350716 arn=arn:aws:iam::366177350716:user/osworld - S3 ListBuckets OK: buckets=13 - EC2 DescribeRegions OK: regions=18 - IAM GetUser OK: username=osworld ```,Thank you. I overlooked this before and didn't check the codex operation carefully. Will handle it asap.,A(security),Medium
OSWorld,442,2796,426,closed,codex,2026-01-31T18:27:37Z,2026-01-31T18:28:20Z,PR Merged,"### Motivation - Remove a stale reference to a deleted example ID that can cause a `FileNotFoundError` when consumers load the full evaluation corpus.  ### Description - Delete `""982d12a5-beab-424f-8d38-d2a48429e511""` from the `vs_code` array in `evaluation_examples/test_all.json`.  ### Testing - Located the reference with `rg`, reloaded the edited JSON with `python -c ""import json; json.loads(open('evaluation_examples/test_all.json').read())""` which printed `ok`, and committed the change; the automated validation succeeded.  ------ [Codex Task](https://chatgpt.com/codex/tasks/task_e_697e462d30748331b02bfc62b0f04af0)",Addressed https://github.com/xlang-ai/OSWorld/issues/421,C(delete),High
OSWorld,442,2796,420,closed,,2026-01-24T10:24:58Z,2026-01-25T17:47:14Z,PR Merged,"This PR fixes several task evaluation issues by updating task configurations and evaluator functions to be more robust and accurate.  ## Summary  This PR addresses evaluation failures in 5 tasks across different application domains (document processing, web automation, OS operations, VS Code, and image processing) by:  - Adjusting similarity thresholds to accept valid format variations - Replacing brittle selectors with stable attribute-based ones - Correcting expected output formats to match actual results - Adding missing configuration expectations - Enhancing evaluator functions with better error handling  ## Changes  ### 1. APA Reference Formatting Task (2c1ebcd7-9c6d-4c9a-afad-900e381ecd5e) **Commit:** 551f259  - **Issue:** Similarity threshold (0.93/0.92) was too strict, failing valid APA format variations - **Fix:** Reduced `reference_base_result` threshold to 0.6 for both Ubuntu and Windows versions - **Rationale:** APA format allows multiple valid expressions (e.g., spacing around journal volume numbers). The new threshold maintains content accuracy while accepting reasonable formatting variants.  ### 2. TripAdvisor Hotel Search Task (b7895e80-f4d1-4648-bee0-4eb45a6f1fa8) **Commit:** f5039cb  - **Issue:** Absolute XPath paths were fragile and broke when website DOM structure changed - **Fix:** Replaced absolute XPath expressions with robust relative XPath selectors using `data-automation` and `aria-label` attributes - **Changes:**   - Check-in/check-out dates: `//button[@data-automation='checkin']//...`   - City header: `//h2[@data-automation='header_geo_title']`   - Room/guest selector: `//button[@data-automation='roomsandguests']//...`   - Price sorting: `//button[contains(@aria-label,'PRICE_LOW_TO_HIGH')]//...` - **Rationale:** Attribute-based selectors are more stable and resilient to UI updates.  ### 3. File Compression Task (37887e8c-da15-4192-923c-08fa390a176d) **Commit:** fd2d2b2  - **Issue:** Expected output format mismatch - evaluation script outputs ""SUCCESS"" (uppercase) but expected ""Success"" (capitalized) - **Fix:** Updated expected message from ""Success: ..."" to ""SUCCESS: ..."" - **Rationale:** Case-sensitive string matching in `check_include_exclude()` was failing valid submissions.  ### 4. VS Code Theme Change Task (982d12a5-beab-424f-8d38-d2a48429e511) **Commit:** ad82045  - **Issue:** VS Code automatically adds workspace trust settings to `settings.json`, but expected output only included color theme setting - **Fix:** Added three workspace trust security settings to expected configuration:   - `security.workspace.trust.enabled: false`   - `security.workspace.trust.startupPrompt: ""never""`   - `security.workspace.trust.emptyWindow: false` - **Rationale:** Ensures evaluator matches actual `settings.json` content generated during task execution.  ### 5. GIMP Character Extraction Task (e8172110-ec08-421b-a6f5-842e6451911f) **Commit:** dd37181  - **Issue:**    - Manual GIMP extraction and Python scripts produce slightly different pixel-level results   - Original evaluator failed on dimension mismatches even when content was correct   - No reference implementation provided - **Fixes:**   1. **Added reference Python implementation:** Complete example script for automated character extraction with background removal   2. **New evaluator function `check_structure_sim_with_threshold()`:**      - Customizable SSIM threshold (default 0.85, more lenient than original 0.9)      - Automatic image resizing using LANCZOS resampling when dimensions differ      - Comprehensive logging for debugging      - Better error handling for edge cases   3. **Updated task configuration:** Switched to new evaluator with threshold 0.85 - **Rationale:** Different image processing methods (anti-aliasing, edge handling) cause minor pixel differences. The new approach focuses on visual similarity rather than exact pixel matching.  ## Files Changed  - `evaluation_examples/examples/multi_apps/2c1ebcd7-9c6d-4c9a-afad-900e381ecd5e.json` - `evaluation_examples/examples_windows/multi_app/2c1ebcd7-9c6d-4c9a-afad-900e381ecd5e.json` - `evaluation_examples/examples/chrome/b7895e80-f4d1-4648-bee0-4eb45a6f1fa8.json` - `evaluation_examples/examples/os/37887e8c-da15-4192-923c-08fa390a176d.json` - `evaluation_examples/examples/vs_code/982d12a5-beab-424f-8d38-d2a48429e511.json` - `evaluation_examples/examples/multi_apps/e8172110-ec08-421b-a6f5-842e6451911f.json` - `desktop_env/evaluators/metrics/gimp.py` (new function added)  ## Testing  All changes have been validated against the refine task versions in the reference repository. The modifications ensure that: - Valid task completions are correctly identified - Evaluation is more resilient to minor variations - Expected outputs match actual runtime behavior - Evaluator functions handle edge cases gracefully  ## Impact  These fixes improve evaluation accuracy and reduce false negatives, ensuring that correctly completed tasks are properly recognized while maintaining quality standards.","LGTM, thanks for helping with this fix! All best luck!",A(security),Medium
OSWorld,442,2796,407,open,,2025-12-31T12:44:56Z,,,"Dear Authors,  Thanks for the great work. I'm running on Mac m4 pro and receiving this error:  ``` python quickstart.py --provider_name vmware --path_to_vm ""{my path}/OSWorld/vmware_vm_data/Ubuntu-arm/Ubuntu.vmx""  Starting VMware VM... Starting OSWorld environment... Starting VMware VM... Environment setup failed, retrying (1/5)... Environment setup failed, retrying (2/5)... Environment setup failed, retrying (3/5)... Environment setup failed, retrying (4/5)... Environment setup failed, retrying (5/5)... An error occurred while trying to get the screenshot: HTTPConnectionPool(host='172.16.248.128', port=5000): Max retries exceeded with url: /screenshot (Caused by NewConnectionError(""HTTPConnection(host='172.16.248.128', port=5000): Failed to establish a new connection: [Errno 65] No route to host"")) An error occurred while trying to get the screenshot: HTTPConnectionPool(host='172.16.248.128', port=5000): Max retries exceeded with url: /screenshot (Caused by NewConnectionError(""HTTPConnection(host='172.16.248.128', port=5000): Failed to establish a new connection: [Errno 65] No route to host"")) An error occurred while trying to get the screenshot: HTTPConnectionPool(host='172.16.248.128', port=5000): Max retries exceeded with url: /screenshot (Caused by NewConnectionError(""HTTPConnection(host='172.16.248.128', port=5000): Failed to establish a new connection: [Errno 65] No route to host"")) Failed to get screenshot. An error occurred while trying to get the accessibility tree: HTTPConnectionPool(host='172.16.248.128', port=5000): Max retries exceeded with url: /accessibility (Caused by NewConnectionError(""HTTPConnection(host='172.16.248.128', port=5000): Failed to establish a new connection: [Errno 65] No route to host"")) An error occurred while trying to get the accessibility tree: HTTPConnectionPool(host='172.16.248.128', port=5000): Max retries exceeded with url: /accessibility (Caused by NewConnectionError(""HTTPConnection(host='172.16.248.128', port=5000): Failed to establish a new connection: [Errno 65] No route to host"")) An error occurred while trying to get the accessibility tree: HTTPConnectionPool(host='172.16.248.128', port=5000): Max retries exceeded with url: /accessibility (Caused by NewConnectionError(""HTTPConnection(host='172.16.248.128', port=5000): Failed to establish a new connection: [Errno 65] No route to host"")) Failed to get accessibility tree. Environment reset complete! Executing action: pyautogui.rightClick() An error occurred while trying to execute the command: HTTPConnectionPool(host='172.16.248.128', port=5000): Max retries exceeded with url: /execute (Caused by NewConnectionError(""HTTPConnection(host='172.16.248.128', port=5000): Failed to establish a new connection: [Errno 65] No route to host"")) An error occurred while trying to execute the command: HTTPConnectionPool(host='172.16.248.128', port=5000): Max retries exceeded with url: /execute (Caused by NewConnectionError(""HTTPConnection(host='172.16.248.128', port=5000): Failed to establish a new connection: [Errno 65] No route to host""))```    I've been trying to fix the networking issue between Mac and VMfusion but in vain. Any suggestions?","Hey, not sure if you still need help but I solved this problem by allowing my Terminal application to ""find and communicate with devices""  on my local network (see Settings > Privacy & Security > Local Network). Had this disabled at some point and forgot about it � ",A(security),Medium
OSWorld,442,2796,390,open,,2025-12-11T04:25:12Z,,,"Hello, I am using the OSWorld Sandbox image on my own AWS account (with my own security groups). However, my local network blocks all outbound requests to non-standard ports (e.g., 5000, 9222, 8080, 5910, 8006), which prevents me from accessing most VM services exposed by the Sandbox.  Because my local network only allows outbound traffic to ports 80/443, I am considering adding a reverse proxy on port 80 inside the VM instance, mapping specific paths to the internal service ports, for example: 	•	/api/  → 127.0.0.1:5000 	•	/cdp/  → 127.0.0.1:9222 	•	/vlc/  → 127.0.0.1:8080 	•	/novnc/ → 127.0.0.1:5910 	•	/vnc/ → 127.0.0.1:8006 	•	All other paths keep the original port-80 behavior of the image.  This way, external access uses only port 80, while internal services continue running on their original ports without modifying the Sandbox.  My questions: 	1.	Would adding such reverse-proxy mappings on port 80 cause any issues with OSWorld Sandbox’s functionality? 	2.	Does the Sandbox rely on port 80 for anything important, and would adding additional location rules conflict with existing behavior? 	3.	Is there an officially recommended way to expose the multi-port services through a single standard port for use in restricted network environments?  Thank you!","Thanks for the detailed question.  1. The OSWorld Sandbox itself does **not** rely on port 80 for any internal components or critical functionality. Overriding or occupying port 80 with your own reverse proxy will not interfere with the framework’s operation, as long as the proxy simply forwards traffic and does not modify the internal services.  2. Because port 80 is not used by any core Sandbox subsystems, adding additional `location` rules or path-based mappings should not create conflicts with existing behavior. The internal services (API, CDP, VLC, noVNC, VNC) will continue to run on their original ports as expected.  3. At this time, we do **not** provide an official reverse-proxy or single-port exposure setup. Your proposed design—running a lightweight reverse proxy (e.g., Nginx) on port 80 and routing `/api/`, `/cdp/`, `/vlc/`, `/novnc/`, etc. to their respective internal ports—is a reasonable solution for restricted network environments, but it is not currently part of the official distribution.  If your network constraints require all outbound traffic to use standard ports (80/443), adding an external proxy layer is a valid approach and should work without affecting Sandbox functionality.  ",A(security),Medium
OSWorld,442,2796,373,open,,2025-11-10T10:50:36Z,,,"Hi OSWorld team,  I'm running OSWorld evaluations in the **host–client** setup on AWS, and I’d like to follow the principle of least privilege when creating an IAM user for the OSWorld host.  To improve security, I created a dedicated IAM user, for example:  - IAM user: `osworld-host-user` - No `AdministratorAccess` - No broad `iam:*` permissions - Only a small set of permissions (e.g., S3 access for datasets/logs, and optional ECR read-only if images are in ECR)  However, during some runs I occasionally see the following error:  > Failed to auto-create scheduler role 'osworld-scheduler-ec2-terminate':   > An error occurred (AccessDenied) when calling the CreateRole operation:   > User: arn:aws:iam::xxxxxxxxxxxx:user/osworld-host-user is not authorized to perform: iam:CreateRole on resource: arn:aws:iam::xxxxxxxxxxxx:role/osworld-scheduler-ec2-terminate because no identity-based policy allows the iam:CreateRole action  So it seems that OSWorld is trying to automatically create a scheduler role called `osworld-scheduler-ec2-terminate` via `iam:CreateRole`, but my host IAM user is intentionally not allowed to create IAM roles.  --- ### Current example policy I’m using  For example, here is an IAM policy I currently attach to the `osworld-host-user`:  ``` {   ""Version"": ""2012-10-17"",   ""Statement"": [     {       ""Sid"": ""EC2ControlMinimal"",       ""Effect"": ""Allow"",       ""Action"": [         ""ec2:RunInstances"",         ""ec2:Describe*"",         ""ec2:CreateTags"",         ""ec2:TerminateInstances"",         ""ec2:AssociateIamInstanceProfile"",         ""ec2:DisassociateIamInstanceProfile"",         ""ec2:DescribeIamInstanceProfileAssociations""       ],       ""Resource"": ""*"",       ""Condition"": {         ""StringEquals"": {           ""aws:RequestedRegion"": ""us-east-1""         }       }     },     {       ""Effect"": ""Allow"",       ""Action"": [         ""ecr:GetAuthorizationToken"",         ""ecr:BatchCheckLayerAvailability"",         ""ecr:GetDownloadUrlForLayer"",         ""ecr:BatchGetImage""       ],       ""Resource"": ""*""     }   ] }  ```   ---  ### My questions  1. **Do you have a recommended “minimal IAM policy” for the OSWorld host user** in the host–client setup?      - **A concrete example JSON policy** (or a list of required actions/services) would be very helpful.  2. **Is `iam:CreateRole` actually required for normal OSWorld evaluation runs, or only for optional auto-termination/scheduler features?**      - If `iam:CreateRole` / `iam:PassRole` is required, could you clarify:      - The expected role name(s) (e.g. `osworld-scheduler-ec2-terminate`),      - The desired trust policy (which service should assume the role),      - And the minimal permissions that role itself should have (e.g. `ec2:TerminateInstances` with certain tags)?    - Is it possible to **pre-create this role manually** with an admin account so that the host user does *not* need `iam:CreateRole`?  3. **If the scheduler role is optional** (e.g., only for auto-shutdown of EC2 instances),      - Is there a configuration flag or environment variable to **disable the auto-create-scheduler-role behavior**, so that the host IAM user only needs S3/ECR (and maybe read-only EC2/SSM) permissions?  --- Any guidance on a minimal, security-friendly IAM policy for the host user would be greatly appreciated. It would also be great if this could be added to the documentation for people running OSWorld on AWS with least-privilege IAM settings.  Thanks!","Hi @mengsong16,  Thanks for the detailed report — this is a great question.  The `osworld-scheduler-ec2-terminate` role is used internally by OSWorld to control the **time-to-live (TTL)** of client EC2 machines, mainly to **automatically shut down idle or expired clients** and avoid unnecessary compute costs.  So yes — the `iam:CreateRole` and `iam:PassRole` permissions are only required if you want OSWorld to **auto-create and use this scheduler role** for EC2 termination. If your host IAM user does not have these permissions, the system simply won’t be able to create or attach that role automatically — but **this will not affect normal evaluation runs**.  If you prefer to stay fully least-privilege:  * You can safely **ignore the AccessDenied warning**; it only affects the auto-shutdown helper. * Alternatively, you can **manually pre-create** the `osworld-scheduler-ec2-terminate` role (trusted by `ec2.amazonaws.com` and granting `ec2:TerminateInstances` on tagged instances) if you’d like the TTL control to work. * There’s currently no explicit flag to disable the “auto-create scheduler role” behavior, but we plan to add one in the next update for stricter IAM environments.  In short — it’s safe to proceed without `iam:CreateRole`; the scheduler is optional and only used for automatic EC2 cleanup.  Thanks again for highlighting this — we’ll clarify it in the documentation soon.  Best, Tianbao OSWorld Team  | @Timothyxxx, thanks for the quick clarification! This is really helpful!",A(security),Medium
OSWorld,442,2796,341,open,,2025-09-23T04:55:48Z,,," Google Cloud access blocked  Effective September 16, 2025, Google Cloud has begun to enforce 2-step verification (2SV), also called multi-factor authentication (MFA). Go to your security settings to turn on 2-step verification. ","This isn’t a code bug, it’s an account / access policy issue: | Hi, have you found a solution other than skipping these tasks?  > Google Cloud access blocked >  > Effective September 16, 2025, Google Cloud has begun to enforce 2-step verification (2SV), also called multi-factor authentication (MFA). Go to your security settings to turn on 2-step verification.  ",A(security),Medium
